Frame,VehicleCount
1,21
2,19
3,20
4,20
5,19
6,22
7,19
8,19
9,20
10,22
11,22
12,20
13,22
14,21
15,22
16,22
17,20
18,19
19,19
20,18
21,20
22,19
23,21
24,18
25,17
26,19
27,19
28,19
29,19
30,19
31,19
32,19
33,19
34,19
35,19
36,20
37,20
38,19
39,17
40,16
41,16
42,17
43,18
44,17
45,18
46,17
47,16
48,19
49,17
50,18
51,19
52,20
53,20
54,19
55,19
56,22
57,19
58,22
59,19
60,19
61,16
62,16
63,16
64,17
65,16
66,18
67,17
68,17
69,18
70,19
71,17
72,21
73,18
74,19
75,20
76,18
77,17
78,16
79,15
80,16
81,16
82,17
83,17
84,19
85,16
86,18
87,17
88,17
89,15
90,16
91,18
92,18
93,22
94,20
95,22
96,22
97,20
98,19
99,20
100,20
101,17
102,17
103,21
104,22
105,17
106,18
107,18
108,19
109,19
110,18
111,19
112,20
113,21
114,21
115,21
116,20
117,20
118,21
119,19
120,19
121,20
122,20
123,21
124,23
125,22
126,20
127,20
128,23
129,21
130,18
131,18
132,19
133,22
134,22
135,22
136,20
137,19
138,20
139,16
140,19
141,19
142,21
143,18
144,18
145,18
146,19
147,19
148,18
149,19
150,18
151,17
152,18
153,17
154,17
155,15
156,15
157,16
158,17
159,15
160,17
161,18
162,20
163,18
164,18
165,16
166,14
167,14
168,15
169,15
170,15
171,15
172,14
173,14
174,14
175,15
176,15
177,19
178,17
179,18
180,17
181,23
182,20
183,20
184,20
185,18
186,18
187,18
188,17
189,16
190,15
191,14
192,20
193,18
194,17
195,18
196,19
197,18
198,16
199,15
200,13
201,14
202,13
203,13
204,15
205,14
206,13
207,16
208,17
209,16
210,15
211,17
212,17
213,15
214,15
215,17
216,16
217,18
218,16
219,18
220,20
221,19
222,19
223,19
224,17
225,18
226,19
227,18
228,14
229,16
230,15
231,13
232,15
233,15
234,16
235,19
236,18
237,16
238,16
239,18
240,17
241,16
242,14
243,15
244,15
245,13
246,12
247,12
248,12
249,12
250,12
251,12
252,12
253,12
254,12
255,12
256,13
257,14
258,12
259,14
260,14
261,13
262,13
263,13
264,14
265,14
266,16
267,15
268,16
269,15
270,13
271,16
272,17
273,17
274,16
275,16
276,17
277,18
278,16
279,17
280,16
281,18
282,20
283,19
284,18
285,16
286,19
287,16
288,16
289,18
290,17
291,17
292,17
293,20
294,20
295,20
296,20
297,20
298,19
299,15
300,17
