Frame,Total,Car,Bike,Bus,Truck
1,21,14,4,0,3
2,16,14,0,0,2
3,18,15,1,0,2
4,18,15,1,0,2
5,18,15,0,1,2
6,17,14,0,0,3
7,18,15,1,0,2
8,18,15,1,0,2
9,18,15,0,0,3
10,19,15,1,0,3
11,19,15,1,0,3
12,19,15,1,0,3
13,20,15,2,0,3
14,19,15,1,0,3
15,19,15,1,0,3
16,19,15,1,0,3
17,19,15,1,0,3
18,18,15,0,0,3
19,18,15,0,0,3
20,17,14,0,0,3
21,18,14,0,0,4
22,18,15,0,0,3
23,18,14,0,0,4
24,16,12,0,1,3
25,16,13,0,0,3
26,18,15,0,0,3
27,18,15,0,0,3
28,18,15,0,0,3
29,17,13,0,1,3
30,17,14,0,0,3
31,18,14,1,0,3
32,18,14,1,0,3
33,17,14,0,0,3
34,19,15,0,0,4
35,18,15,0,0,3
36,19,16,0,1,2
37,19,16,0,1,2
38,17,14,0,1,2
39,15,13,0,0,2
40,15,13,0,0,2
41,16,13,0,0,3
42,17,14,0,0,3
43,16,13,0,0,3
44,16,13,0,0,3
45,16,13,0,0,3
46,16,12,0,1,3
47,16,12,0,0,4
48,16,13,0,1,2
49,16,12,0,0,4
50,17,12,1,0,4
51,18,13,1,0,4
52,18,13,1,1,3
53,18,13,1,0,4
54,18,13,1,0,4
55,17,13,0,0,4
56,18,14,0,0,4
57,18,14,1,0,3
58,20,15,2,0,3
59,18,14,1,0,3
60,17,13,1,0,3
61,16,13,0,0,3
62,14,12,0,0,2
63,15,13,0,0,2
64,16,13,1,0,2
65,15,12,1,0,2
66,15,12,1,0,2
67,14,12,0,0,2
68,15,13,0,0,2
69,17,15,0,0,2
70,17,15,0,0,2
71,16,14,0,0,2
72,18,15,1,0,2
73,16,14,0,0,2
74,17,15,0,0,2
75,19,15,2,0,2
76,17,14,1,0,2
77,16,13,1,0,2
78,16,13,1,0,2
79,15,12,1,0,2
80,16,13,1,0,2
81,16,13,1,0,2
82,16,13,1,0,2
83,17,14,1,0,2
84,18,15,1,0,2
85,15,13,0,0,2
86,17,14,1,0,2
87,16,13,1,0,2
88,16,13,1,0,2
89,15,12,1,0,2
90,16,14,0,0,2
91,17,14,1,0,2
92,18,15,1,0,2
93,19,16,1,0,2
94,18,15,1,0,2
95,19,15,2,0,2
96,20,16,2,0,2
97,19,15,2,0,2
98,19,15,2,0,2
99,19,15,2,0,2
100,18,14,2,0,2
101,17,13,2,0,2
102,17,13,2,0,2
103,18,13,2,0,3
104,19,14,2,0,3
105,17,12,2,0,3
106,16,12,1,0,3
107,17,11,2,0,4
108,17,12,2,0,3
109,17,12,2,0,3
110,18,12,2,0,4
111,19,13,2,0,4
112,20,14,2,0,4
113,20,14,2,0,4
114,20,14,2,0,4
115,21,14,3,0,4
116,20,14,2,0,4
117,19,14,1,0,4
